"magie","sort","effet","cible","temps","cout"
"telekenesie","Arrêt cardiaque","Arrête le cœur de sa victime doit faire un jet de mental pour y résister(-10% a chaque tour supplémentairement), pour le maintient le joueur doit faire un test de mental pour le maintenir(4psy+3mt) ","Sur cible","Maintien","4"
"telekenesie","Armageddon","Fait écraser un astéroïde dans une zone 2d10+13 de dommage dans la zone du crash, puis 4d10 entre 10 et 20m autour du crash, à  moins de 30m 13 de dégât, 1d6+2 entre 10 et 30m, au delà  pas de dégât,  prend un tour de caste, le lanceur ne peut changer la zone d'impact et ne peut l'annuler non plus, perce armure  ","sur Zone","Unique","12"
"Terre","**** TERRE *****","","T","","0"
"Terre","Pacte de la Terre","Pour chaque ennemi, dont le sang abreuve la terre, vous regagner 1PV ou 1 au choix ","Sur soi","Permanent","0"
"Terre","Malédiction de Balloelia","Marque un joueur / PNJ ce qui permet à  tous moments de savoir ou il se situe","Sur cible","Persistant","2"
"Terre","Contrôle de la terre","Permet de lancer une roche sur un ennemi,  inflige 1d4 de dégât ","Sur cible","Un tour","2"
"Terre","Affûtage","Modifie le métal, et le tranchant de l'arme, qui devient perce armure, si pas d'armure+2 en dégât ","Sur cible","Persistant","3"
"Terre","Armure du pierre","Armure 2 sur la cible","Sur cible ou sur soi","Persistant","3"
"Terre","Masse de roche","Inflige 1d6+5 de dommage","Sur cible ou sur soi","un tour","4"
"Terre","Mur de terre","Créer un mur avec 20 PV sur zone","Sur zone","Persistant","3"
"Terre","Arme de pierre ","Créer une arme au choix","Sur cible ou sur soi","3 attaques","3"
"Terre","Mouvement du sol","Permet de détecter toutes vibration du sol","Sur zone","un tour","3"
"Terre","Sable mouvant","Rends le sol instable et la victime s'enfonce dedans, doit faire un test de physique à -30% pour s'en sortir ","Sur zone","3 tour","4"
"Terre","Poing d'acier","Transforme son poing en poing d'acier,  inflige 1d6+5 en dommage et offre+1 en armure ","Sur soi ou sur cible","persistant","6"
"Terre","l'age de fer","Recouvre le corps de la cible d'une armure d'une armure de 4 point, sans les malus du à  l'armure ","Sur cible","3 tours","5"
"Terre","Clone de sable","Permet de créer un clone de boue avec les mêmes caractéristiques que la cible,  créature semi-libre ","Sur zone","Persistant","6"
"Terre","Retour à  la poussière","Inflige 2d6+4 de dommage dans une zone","Sur zone","Un tour","7"
"Terre","Séisme","Ouvre un gouffre dans le sol, et peut engloutir tous ce qui était à  proximité, si rate un test d'agilité avec un malus de 20%, 10 m de diamètre ","Sur zone","Un tour","8"
"Terre","Golem de pierre","Créer un golem de pierre avec 22 PV, 6 d'armure, physique 80/ mental 5/ social 5, insensible aux sentiments, faisant 2d6+3 sur zone, pas de défense, créature semi-libre ","Sur zone","Persistant","10"
"Terre","Poing de Balloelia","Inflige 4d10 perce armure sur les ennemis ou allier ","Sur zone","Unique","12"
"Ultime","**** ULTIME *****","","T","","0"
"Ultime","Réveil du mage","Permet à de réduire les dégat magique de 2 points","Sur soi","Un tour","0"
"Ultime","Barrière magique","Réduit les dégâts magiques de moitié(arrondir à  l'unité supérieure)","Sur soi ou sur cible","Persistant","3"
"Ultime","Aveuglement","Provoque une lumière aveuglante qui empêche la ou les victime(s)de jouer pendant 2 tour","Sur zone","2 tour","3"
"Ultime","Age du dragon","Copie un sort d'un joueur/ennemi sur la cible de son choix, avec le même effet(dégât, protection etc), ne paye que le coût de l'âge du dragon. Les effets du sort copié ne dure qu'un tour ","Sur cible","Un tour","3"
"Ultime","Retournement","Renvoie les dommages subit sur une cible ou joueur","Sur soi ou sur cible","Éphémère","3"
"Ultime","Détection de magie","Permet de détecter toute source de magie à  proximité","Sur zone","Un tour","3"
"Ultime","Amplification des arcanes","La cible fait plus de dégâts magiques +6 en dégâts magiques","Sur cible ou sur soi","3 Tours","3"
"Ultime","Silence","Empêche la cible de lancer un sort pendant 1d4 tours","Sur cible","Persistant","3"
"Ultime","Zone non mage ","Créer une zone ou la magie ne peut être lancer et où les sorts n'ont aucun effet(3psy+2mn)","Sur zone","Un tour","3"
"Ultime","Ecrasement d’Althusser","Invoque un dieu qui inflige 1d6+5 de dommage sur une cible","Sur cible","Un tour","4"
"Ultime","Absorption de magie","Absorbe 1d6+3 d'une cible,  l'ennemi peut résister sur un jet de mental ","Sur cible","Un tour","3"
"Ultime","Connaissance infinie","Permet de savoir des éléments intéressant sur un fait ou une situation et de connaitre l'avenir. Apporte un bonus de 10% en memoire et astuce","Sur cible","Un tour","5"
"Ultime","Affût magique","Permet de savoir des éléments intéressant sur un fait ou une situation","sur soi ou sur cible","Éphémère","5"
"Ultime","Immunité","Permet d'annuler tous les effets des sorts sur une cible mais aussi de la protéger des sorts à  venir(6psy+2mn)","Sur cible","Maintien","6"
"Ultime","Bouclier d'absorption","Absorbe 80% attaques magiques ou physiques(au choix du lanceur)","Sur cible ou soi","Maintien","8"
"Ultime","Malédiction de Vharung","Inflige 4d10 perce armure sur les ennemis","Sur zone","Unique","13"
"Ultime","Réduction de magie","permet de diminuer le coût des X prochains sorts de 1D4PSY","Sur cible ou sur soi","unique ",""
"Vie","**** VIE *****","","T","","0"
"Vie","Don de la vie","Regagne un PV/tour","Hors combat","Persistant","0"
"Vie","Dissipation de la fatigue","Supprime tous traces de fatigue, récupère 4 PV ","Sur zone","Persistant","2"
"Vie","Détection de magie","Permet de détecter toute trace de magie dans le secteur","Sur zone","Un tour","2"
"Vie","Familier","Donne vie à  un objet, il a 2 PV et peut faire de la reconnaissance,  créature semi libre ","Sur cible","Persistant","2"
"Vie","Foi en l'avenir","A un bonus de 10% pour toutes actions physique ou magique(2psy+2mt)","Sur cible ou sur soi","Maintien","2"
"Vie","Absorption","Absorbe 1d6 PV de n'importe qui et augmente d'autant ses PV","Sur cible","Persistant","2"
"Vie","l'armure de la Foi ","+2 en armure","Sur cible","Persistant","3"
"Vie","Retrait de l'âme","Inflige 1d6+5 dommages a une cible","Sur cible ou sur soi","Un tour","4"
"Vie","Protection de Vhalegar","Permet d'esquiver même si pas en posture défensive, si la posture défensive est activé un bonus de 10% est accordé ","Sur soi ou sur cible","2 tours","4"
"Vie","Stase Temporelle","Permet de mettre une personne en stase, elle ne subira plus de dommage mais ne pourra plus agir ","Sur cible","Persistant","6"
"Vie","Rappel à  Vhalegar","Créer un trou noir aspirant tous les ennemis ou joueur dans le secteur, si rate un test d'agilité ","Sur zone","Un tour","10"
"Vie","Bienfait de Vharung","Soigne tous les alliés de 2d6+4","Sur groupe","Un tour","10"
"Vie","Résurrection du phœnix","Le joueur perd la moitié de ses PV et redonne vie à une cible et/ou lui restaure sa totalité des PV.","Sur cible","Un tour",""
"Vie","Guérison","Soin sur lui ou un autre joueurs 1d8+2","Sur cible","Un tour","2"
"Vie","Sauvegarde de vie","Cristallise X PV de ses propres PV pouvant servir plus tard à  tous moments","Sur cible","Un tour",""
"Vie","Rédemption","Paralyse un ennemis jusqu'a qu'il reussi un jet de prière (social),  pour entrer dans les bonne grâce des dieux ","Sur cible","Un tour","3"
"Humain","**** HUMAIN *****","","T","","0"
"Humain","Solidarité","Permet de participer au coût d'un sort","Sur cible","Ephemere","0"
"Humain","Unité","Inflige 1d4 perce armure","Sur cible","Un tour","2"
"Humain","Fraternité","Permet de prendre un coup à la place d'une cible","Sur cible","Ephémère","2"
"Humain","Encouragement","Permet au joueur qui en est la cible de jouer une seconde fois ce tour ci","Sur cible","Ephémère","3"
"Humain","Sournoisie","Réduit le cout de ses sorts de 1","Sur soi","Persistant","3"
"Humain","Protection","envoie les dégats subits au lanceur","Sur cible","Ephémère","3"
"Humain","Pluie de Lumière","Inflige 1d6+3 de dommage à une cible","Sur cible","Un tour","3"
"Humain","Lumière Aveuglante","Aveugle tous ceux qui regardent la lumière","Sur zone","3 Tour","3"
"Humain","Foi en soi","La personne infligera le double de dommage à une cible choisie","Sur soi et sur cible","Persistant","3"
"Humain","Fureur du Géant","Double sa taille,  son poids et ses dégats physiques ","Sur cible","Persistant","4"
"Humain","Prémonition","Permet au joueur de connaître l'action du PNJ prochain tour de la cible","Sur cible","Persistant","4"
"Humain","Charité","Permet de doublé les effets d'un sorts.","Sur cible ou sur soi","Persistant","4"
"Humain","Aura de vertu","Réduit les dégats sur la cible de moitié","Sur soi","Persistant","5"
"Humain","Humanitaire","Permet de dédoubler un objet.","Sur cible","Permanent / Unique","5"
"Humain","Bénédiction","Transforme un jet de dès raté en réussit (sauf echec critique)","Sur soi ou sur cible","Ephemère","5"
"Humain","Arcanes secrètes","Inflige 4d10 perce armure sur les ennemis","Sur zone","Unique","10"
"Humain","Entraide","Le joueur perd la moitié de ses PV et redonne vie à une cible et/ou lui restaure sa totalité des PV.","Sur soi ou sur cible","Un tour",""
"Humain","Transfert d'énergie","Permet de transfert 1d6+1 ou 1d8+2 PV à une cible","Sur cible","un tour",""
"Demon","Vengeance","Reviens à  la vie après avoir trépassé, avec 1 PV. Passif ","Sur soi","Une fois / jour","0"
"Demon","Force Demoniaque","Augmente les dégâts de 1d6","Sur soi","Permanent","3"
"Demon","Armure Demoniaque ","Armure+2 sur cible ou joueur ","Sur soi","Persistant","3"
"Demon","Chaos","La cible aura un malus de 15% qui s'activera au bon vouloir du lanceur","Sur cible","Persistant","3"
"Demon","Apprentissage par le sang","Lorsque le Demon marque un ennemi et le tue il peux apprendre un de ses sorts","Sur cible","Persistant","3"
"Demon","Aura de peur","Inspire la terreur(les ennemis doivent tester leur mental pour éviter de fuir avec un malus de 10%)","Sur zone","Un tour","3"
"Demon","Détection de l'invisibilité","Peuvent détecter les personnes invisibles ou camouflé à  proximité","Sur zone","Un tour","3"
"Demon","Ennui oppressant","La cible perd sa prochaine action","Sur soi","Un tour","3"
"Demon","Foi en soi","La personne qui est la cible de se sort subira le double de dommage","Sur soi","Persistant","3"
"Demon","Enfer sur Terre","Créer un puissant jet de flamme 1d6+3 de dégâts(+2 de dommage pour chaque supplémentaire)(3psy+2mn)","Sur cible ou zone","Un tour","3"
"Demon","Lame de sang","Des armes tournois autour de lui, le lanceur peut les mouvoir(couvre une zone de 5 m)elle font 1d6+3 de dégât, objet semi-libre(5psy+3mtn) ","Sur Zone, Unique, Maintien ","5"
"Demon","Epée infernale","Génère une épée de feu qui inflige en plus des dégâts habituelle d'une épée+1d4 perce armure par tour dû aux flammes","Sur soi","Persistant","4"
"Demon","Création de mini portail","Créer un mini portail pouvant le transporter dans un rayon de 15 m, le portail a une durée de vie aléatoire, et tous individu peut emprunter ce portail. ","Sur zone","Un tour","4"
"Demon","Enfer proche","Ajoute+10 % au prochain jet de dés","Sur soi","3 tour","4"
"Demon","Bouclier d'Ombre","Permets d'avoir un bouclier qui bloque les deux prochaines attaques magiques","Sur soi","Persistant","4"
"Demon","Invocation de Demons","Invoque 2 Demons Physique 60, Mental 55, Social 55 infligeant 1d6+2 de dommage, 8 PV, créature semi libre ","Sur zone","Persistant","8"
"Troubadour","**** TROUBADOUR *****","","T","","0"
"Troubadour","Musique appaisante","Permet d'augementer la récupération de 1 ou de 1 pv (soigne les pv insoignables).","Sur soi","Un tour","0"
"Troubadour","Silence forcé","La cible ne peut pas faire de bruit important","Sur cible","Un tour","2"
"Troubadour","Altération vocale","Déguise la voix","Sur soi","persistant","2"
"Troubadour","Sifflement","Appel une monture(elle inflige 1d6 PV 5 PV 60 physique / 70 social / 65 mental)","Sur zone","Permanent","2"
"Troubadour","Musique écho","Permettant de repérer PNJ autour de soit(20m champ libre), mais se fait repérer par les ennemis ","Sur zone","Un tour","2"
"Troubadour","Musique discordieuse","Les ennemis ont-10 % au jet mental et physique environ 20 m","Sur cible","2 tour","2"
"Troubadour","Musique calmante","Permet de calmer les animaux, et les PNJ(si le PNJ réussit il ne sera pas affecté) ","Sur cible","Persistant","2"
"Troubadour","Musique épique","Donne+10 % au jet de physique et mental sur la cible","Sur cible ou sur soi","2 tour","2"
"Troubadour","Musique terrifiante","Inspire la terreur(les ennemis doivent tester leur mental pour éviter de fuir avec un malus de 15%)","Sur zone","Un tour","3"
"Troubadour","Onde sonore","Permet de protéger un joueur ou un PNJ+2 armure","Sur soi ou sur cible","Un tour","3"
"Troubadour","Ultra son","Inflige 1d4+4 passe l'armure sur un ennemi ciblé","Sur cible","Un tour","4"
"Troubadour","Musique excitante","Le joueur ou le PNJ peut agir deux fois ce tour-ci","Sur cible","Un tour","3"
"Troubadour","Rage musicale","Tous les joueurs et PNJ dans un rayon de 15m attaque avec+3 en dommage une cible aléatoire dans ce rayon d'action","Sur zone","Un tour","3"
"Troubadour","Berceuse","Endors les ennemis, mais les joueurs doivent faire un jet de discrétion pour toutes actions à  proximité des ennemis ","Sur cible","Persistant","3"
"Troubadour","Vague sonore","inflige 1d6+5 de dommage dégât de zone(5psy+3mtn)","Sur zone","Maintien","5"
"Troubadour","Dernière symphonie","Inflige 4d8 perce armure sur les ennemis","Sur zone","Unique","11"
"Troubadour","Musique réconfortante","soigne 1d8+2 PV un allier,  soigne les pv insoignable ","Sur cible","Un tour","2"
"Corbeau","**** CORBEAU *****","","T","","0"
"Corbeau","Repos du guerrier","récupère 1 PV par par heure","Sur soi","","0"
"Corbeau","Duel","Défit une cible dans un combat à  mort, aucune aide extérieur ne peut être apporté aux participants de ce duel(jet de social réussit) ","Sur soi et cible","Persistant","0"
"Corbeau","Alarme","Lorsque que le guerrier est en surveillance, il à  un bonus de 10% pour détecter toute intrusion dans sa zone de surveillance ","Sur soi","Persistant","0"
"Corbeau","Maintrise de l'adversaire","Le guerrier du corbeau peut maitriser un adversère,  sans lui infliger de dégats (et ce jusqu'à qu'il lache son emprise) ","Sur soi","Persistant","0"
"Corbeau","Attaque circulaire","Permet de toucher tous les ennemis autour de lui,  infligeant à  chaque ennemi un dégât dégressif de -2 en dégât du dégât initial,  le joueur à ensuite un malus de 20 % dégressif de 10% ne peut pas recast tant que le malus est actif ","Sur soi","Un tour","0"
"Corbeau","Coup à  terre","Frappe le sol avec une immense violence qui a se faire extrêmement mal, ce qui fait perdre l'équilibre au ennemi/allié dans un rayon de 10m, ils prendront 1 tour pour se relever ","Sur zone","Un tour","1"
"Corbeau","Déplacement rapide","Le guerrier puisse dans ses forces pour se mouvoir avec une grande rapidité","Sur soi","Un tour","1"
"Corbeau","Coup de boule","Fait 1d4 de dommage, et impose un malus de 10% sur la prochaine action de la victime  ","Sur cible","Un tour","1"
"Corbeau","Saut de l'oiseau","Saute sur un ennemi avec une grande violence 1d6 et l'immobilise au sol, uniquement sur soi ","Sur soi","Un tour","2"
"Corbeau","Cri du guerrier","Le guerrier pousse un cri déstabilisant, allant presque à  l'asphyxie, tous les ennemi dans un rayon de 20m qui entende ce cri, subisse un malus de 10% pendant 3 tours ","Sur zone","3 tours","3"
"Corbeau","Protection du corbeau","Le guerrier se sentant en difficulté en appel au corbeau, il puisse alors de sa force vitale pour générer une protection de+2, non cumulable avec d'autres armures magiques ","Sur soi","Persistant","3"
"Corbeau","Affaire personnel","le guerrier devient dans une rage folle, il augmente ses dégâts de+4, mais ne s’arrêtera que lors qu'il aura tué une personne ","Sur soi","Persistant","3"
"Corbeau","Berserk","Uniquement en mode offensif, double les dégâts au combat, non cumulable avec d'autres sorts de booste(4 PV+3mtn) ","Sur soi","Maintien","4"
"Corbeau","Brise armure","détruit l'armure de l'adversaire","Sur cible","Un tour","3"
"Corbeau","Foi du corbeau","Le guerrier puisse dans ses forces pour forcer sa rapidité de combat, il peut agir une second foi ce tour ci ","Sur soi","Éphémère","3"
"Corbeau","Volonté indomptable","Le guerrier puisse dans ses forces pour augmenter sa force de frappe, augment les dégâts de 1d4+3 ","Sur soi","3 tours","4"
"Vharung","**** VHARUNG *****","","T","","0"
"Vharung","Foi infinie","récupéré 1 supplémentaire par heure","Sur soi","Passif (temps de repos)",""
"Vharung","Vision de Vharung","Permet de voir la nuit","Sur soi","Persistant","2"
"Vharung","Volonté de Vharung","Permet de revenir à  la vie avec 1 PV, doit être lancer avant de mourir ","Sur cible","Éphémère","2"
"Vharung","Cruel destin","Sur 1d6:1-l'ennemi perd 25% de c'est PV / 2-l'ennemi perds définitivement sont armures / 3-l'ennemi est désarmé provisoirement / 4-Le lanceur récupère 1d4 PV ou / 5-restaure les PV de l'ennemi / 6-l'ennemi devient invincible sur 2 tours","Sur cible","Un tour","3"
"Vharung","Bonne fortune","Permet d'améliorer(1d4)d10 la réussite des sorts pour 1d6 tours(1d4)","Sur soi ou cible","1d6 tours","4"
"Vharung","Miroir de Vharung","Renvoie les sorts au lanceur(y compris les sorts de guérisons)","Sur soi ou cibles","Éphémère","4"
"Vharung","Croisade","La personne qui est la cible de se sort subira le double de dommage","Sur soi ou sur cible","Persistant","4"
"Vharung","Force de Vharung","Augmente les dégâts de 2d6+2","Sur soi ou sur cible","Une attaque","4"
"Vharung","Rage de Vharung","Double les points de dégâts, mais la rage de Vharung s’arrêtera que quand le porteur aura tué une personne, s'il n'y a plus d'ennemi le joueur qui a le sort attaquera d'autre joueur ou PNJ, frénésie:le joueur doit rester en offensif tous le long du sort ","Sur soi ou sur cible","Persistant","5"
"Vharung","Coup du sort","Sur un jet de chance réussi inflige 10 points de dégâts bruts sur une cible, si le jet est raté vous prenez 10 points de dégâts bruts  ","sur cible","Un tour","5"
"Vharung","Main de Vharung","Une main d'un dragon géant sort de la terre, inflige 2d8+6 de dommage ","Sur zone","Un tour","8"
"Vharung","Distorsion temporelle","Recommence le tour(positions joueur et des ennemis, PV et initiale, sauf pour le lanceur etc...les ennemis et les joueurs n'ont pas souvenir de cette distorsion(sauf le lanceur) ","Sur zone","un tour","8"
"Vharung","Destin de Vharung","Les 2 prochaines actions la cible, sera automatiquement réussite, dans la limite du raisonnable ","Sur cible","2 actions","9"
"Vharung","Protection de Vharung","Annule les prochains 20 points de dégâts","Sur soi ou sur cible","Persistant","10"
"Vharung","Invocation de Vharung","Invoque la puissance de Vharung, inflige 5d10 de dommage au ennemi et soigne d'autant les alliées ","Sur zone","Unique","20"
"Vharung","Dernier espoir","Inflige X*2 de dégats,  (fait un jet de resistance (force) si rechec tombe dans l'inconscience pour 1d6 tour ","Sur cible","Unique",""
"Waetra","**** WAETRA *****","","T","","0"
"Waetra","Sournoiserie de Waetra","Inflige 1d4 sans compter l'armure","Sur cible","Un tour","2"
"Waetra","Folle hallucination","La cible subit des malus de 10 % aux actions mentales","Sur cible","Persistant","2"
"Waetra","Disparition de Waetra","Le joueur ou la cible devient invisible, peut se déplacer sans être vu, dès une action physique la disparition s'annule ","Sur soi","Persistant","2"
"Waetra","La loi du sang","Récupérer 1D6(2HP)","Sur soi","Unique","2"
"Waetra","Guérison diabolique","Double les effets de la guérison pour le prochain soin ","Sur soi","Une action","2"
"Waetra","Sacrifice à  Waetra","En puissant dans la vie d'un allié, avec ou sans consentement, gagne+1 de dégât par pv absorbé. La cible fait un jet de mental pour y resiter, 1 PV prélever à  10%, 2 à  20% etc... jusqu’à  sa valeur en mental. Le lanceur du sort ne peut puisai plus que le lanceur à  en mental.(exemple une cible avec une valeur de mental à  80%, le lanceur peut prendre 8 PV) ","Sur soi","3 attaques","3"
"Waetra","Demonstration de la puissance de Waetra","Les points de dégât infligés à  la cible durant ce tour, seront ajouter pour la prochaine attaque sur elle(réussite ou pas) ","Sur soi","Un tour","3"
"Waetra","Accueil Chaleureux de Waetra ","Augmente la puissance de sa vie(1d6 pv supplémentaire)et sa force(1d6 de dégâts supplémentaire)","Sur soi","Persistant","3"
"Waetra","Perversion de Waetra","Les prochains dégâts infligés sur le lanceur du sort se verront inflige à  celui qui a attaqué, perce armure ","Sur soi","Une attaque","3"
"Waetra","Retardement de la douleur","Les points de dégât subit sont reportés au prochain tour","Sur soi","Éphémère et instantané","3"
"Waetra","Foi en Waetra","Permet d'échanger deux caractéristiques, entre physique, social et mental ","Sur soi","Persistant","4"
"Waetra","Malice de Waetra","Engourdi l'ennemi, il a un malus de 20 % par tour ","Sur cible","4 tours","5"
"Waetra","Rage de Waetra","Double les points de dégâts, mais la rage de Waetra s’arrêtera que quand le porteur aura tué une personne, s'il n'y a plus d'ennemi le joueur qui a le sort attaquera d'autre joueur ou PNJ, frénésie ","Sur soi","Persistant","5"
"Waetra","Corruption de Waetra","la cible devient sous contrôle mental du lanceur, annule quand perte de conscience, mais il ne peut être considérer comme un allier, créature libre ","Sur cible","Persistant","5"
"Waetra","Invocation de Waetra","Invoque la puissance de Waetra, inflige 4d10 de dommage dans une zone ","Sur zone","unique","12"
"Waetra","Cicatrisation de Waetra","Soigne 1d8+2 PV","Sur soi","Persistant","2"
"Baphomet","**** BAPHOMET *****","","T","","0"
"Baphomet","Pouvoir du chaos","sur 1d6:1-le lanceur gagne 6;2-5 le lanceur gagne 3;6-le lanceur devient fou, submerger par une vague magique pendant 3 tour ","Sur soi","Éphémère","1"
"Baphomet","Bénédiction de Baphomet","Sur 1d6:1-Gagne+2 en force;2-5 Gagne+1 en force;6-Perds 2 en force","Sur cible","Persistant","1"
"Baphomet","Malédiction de Baphomet","sur 1d6:1-la cible est maudite-20% sur ses jets;2-5 la cible est maudite-10% sur ses jet;6-vous êtes maudit-20% pour tous vos jets.","Sur soi","Persistant","2"
"Baphomet","Transformation de Baphomet","sur 1d6:1-Transformation en orque:Physique 80, Social 30, Mental 50, Attaque 2d6, Armure 4;2-5 en Wyvern Physique 65, Social 40, Mental 50, Attaque 1d6+2 Vol, Armure 2;6-en Lapin Physique 10, Social 80, Mental 10, attaque 1d4 ","Sur soi et cible","3 Tour","3"
"Baphomet","Coup du sort ","Sur 1d6:1-La cible perds 6 PV;2-5 la cible perds 3PV;6-vous perdez 6 PV","Sur cible","Un tour","3"
"Baphomet","Armure de Baphomet","Sur 1d6:1-La cible a+4 en armure sans malus;2-5 la cible a+2 en armures;6-les dégâts infligés par la cible ont+2","Sur cible","Persistant","3"
"Baphomet","Protection de Baphomet","Sur 1d6:1-Peut se défendre à  chaque attaque;2-5 Peut se défendre une seconde fois par tour;6-Ne peut se défendre durant le combat","Sur soi/cible","Persistant","3"
"Baphomet","Malédiction du sorcier","Sur 1d6:1-les sorts coûtent 2 en moyen à  lancer;les sorts coûtent 1 de moins à  lancer;6-les sorts coûtent 2 de plus à  lancer","Sur soi ou sur cible","Persistant","4"
"Baphomet","Malédiction du rat cornu","Sur 1d6:1-L’échec critique de la cible est de 85 ou plus;2-5 l’échec critique de la cible est de 90 ou plus;6-Votre échec critique est de 85 ou plus","Sur cible","Persistant","4"
"Baphomet","Bannissement","Sur 1d6:1-La cible est bannis dans un autre plan;2-5 la cible ne peut combattre pendant 2 tours;6-Vous êtes bannis pour les 3 prochains tours","Sur cible","-","5"
"Baphomet","Main de gloire","Sur 1d6:1-La cible inflige le double de dommage;2-5 la cible inflige+2 en dégât;6-la cible subit le double de dégât","Sur cible","Persistant","5"
"Baphomet","Verrou magique","Sur 1d6:1-la cible ne peut plus lancer de sort;2-5 la cible à  un malus de 20% à  son jet de sort;6-Vous ne pouvez plus lancer de sort","Sur soi","4 tour","5"
"Baphomet","Apothéose","Sur 1d6:1-restaure tous les PV d'une cible;2-5 Restaure la moitié des PV d'une cible;6-vous perdez la moitié de vos PV","Sur cible","Un tour","10"
"Baphomet","Pouvoir Total","Sur 1d6:1-Les sorts de tous vos compagnons ne coûtent rien à  lancer;2-5 vos sorts ne vous coûte rien à  lancer;6-La magie de vous et vos compagnons est inutilisable","Sur vous","Unique","13"
"Baphomet","Guerison de Baphomet","Sur 1d6:Soigne 1d8+2 l'ensemble de vos allier;2-5 Soigne 1d8+2 la cible;6-Enlevé 1d8+2 PV au groupe de vos allier","Sur Cible/Soi","Un tour","2"
"Baphomet","Conversion selon Baphomet","Sur 1d6:1-transforme X PV en 2X;2-5 Transforme X PV en X;6-Enlevez X PV à  la cible","Sur Cible","Un tours",""
"Ancien-culte","**** ANCIEN CULTE *****","","T","","0"
"Ancien-culte","Appel à  Zel'Nor:Démon de la Perfidie.","La cible s'inflige des dégât à  elle même","Sur cible","Un tour","2"
"Ancien-culte","Appel à  Arkas:Démon des Voyages.","Récupéré plus vite ses PV et en voyage","Sur soi","Persistant","2"
"Ancien-culte","Appel à  UrZan:Demon de la Luxure.","Augmente son jet de social de 10%","Sur soi","1 tour","2"
"Ancien-culte","Appel à  Karkénas:Demon de la Nature.","Permet de contrôle les plantes environnantes","Sur zone","1 tour","2"
"Ancien-culte","Appel à  Efirénias:Demon des Océans.","Permet de marcher sur l'eau et / ou de respirer sous l'eau","Sur zone","Persistant","2"
"Ancien-culte","Appel à  Talos:Demon de la Luxure.","Créer une petite illusion","Sur zone","1 tour","3"
"Ancien-culte","Appel à  Arixian:Demon du Mensonge.","Permet de relancer un jet de dés","Sur zone","Éphémère","3"
"Ancien-culte","Appel à  Zul'Dorr:Demon de la Richesse.","Double les ressources trouvées","Sur zone","Éphémère","3"
"Ancien-culte","Appel à  Akkaroth:Demon de l'Honneur et de la Puissance., La cible devient dans une rage folle, il augmente ses dégâts de+4, mais ne s’arrêtera que lors qu'il aura tué une personne ","Sur soi","Persistant","3"
"Ancien-culte","Appel à  Zartax:Demon des Ténèbres.","Inflige silence à  une cible","Sur cible","3 tour","4"
"Ancien-culte","Appel à  Tarx:Demon Forgeron.","Sacrifier 2 armes:créer une arme de votre choix","Sur soi","Persistant","4"
"Ancien-culte","Appel à  Karnack:Demon du Chaos.","Sème la zizanie dans les rangs ennemi.","Sur zone","3 tour","5"
"Ancien-culte","Appel à  Karnack:Xaeldriss:Demon des Arcanes.","Inflige 4d10 de dommage dans une zone","Sur zone","unique","12"
"Ancien-culte","Appel à  Nekarx:Demon de la Vie.","Soigne 1d8+2 PV","Sur cible","Persistant","2"
"Cercles","**** CERCLES *****","","T","","0"
"Cercles","Concentration","récupéré 1 supplémentaire par heure","Sur soi","Passif (temps de repos)",""
"Cercles","Matrice arcanique","Symbole permettant de stocker un sort connu à l'intérieur d'un objet pour une utilisation ultérieur. L'activation est déterminer par le lanceur. Le sort stocké devra être lancer par un PJ ou PNJ.","Sur zone","Permanent","2"
"Cercles","Familier mécanique","Création d'un familier mécanique pouvant agir comme le joueur, il a 5 PV, durant le tour du joueur, créature liée, en lien avec soi ","Sur zone","Persistant","2"
"Cercles","Marcage magique","Permet de marquer une cible pour savoir ou elle se situe a tous moment.","Sur cible","Permanent","2"
"Cercles","Rituel concentrée","Le cout du prochain sort coûte 1 de moins à lancer","Sur cible","Le prochain sort","1"
"Cercles","Correction magique","Le lanceur permet d'apporter ssun bonus de 10% sur un jet de dés ratés pour un sort","Sur cible","ephemere","2"
"Cercles","Création de mini portail","Créer un mini portail pouvant le transporter dans un rayon de 15 m, le portail a une durée de vie aléatoire, et tous individu peut emprunter ce portail. ","Sur zone","Un tour","4"
"Cercles","Furie Magique","La cible est pris d'une furie magique,  elle lance deux sorts part tour au lieu d'un et ne s'arretera que lorsque la cible n'a plus de. ","Sur cible","Persistant","4"
"Cercles","Teleportail","Permet d'ouvrir un portail sur un lieu déjà visité. Le portail reste ouvert qu'un tour. Peut être maintenue pour 4 par tour.","Sur zone","Un tour / Unique","8"
"Cercles","Arrêt temporel","Permet de figer le temps pour 1d4 tour,  sur une distance 10m de rayon. Le monde est figé sauf pour les alliés. (Les ennemis ne peuvent figer ne peuvent subir de dommange) ","Sur zone","Unique","8"
"Cercles","Distorsion temporelle","Recommence le tour(positions joueur et des ennemis, PV et initiale, sauf pour le lanceur etc...les ennemis et les joueurs n'ont pas souvenir de cette distorsion(sauf le lanceur) ","Sur zone","un tour","8"
"Cercles","Ultime recours","Inflige 5d10 de dommage au ennemi et soigne d'autant les alliées","Sur zone","unique","20"
"Cercles","Permanence","Permet augementer la durée d'un sort,  soit en diminuant de le cout du maintien de X,  soit en le passant de permanent à X heures ","Sur cible","Persistant",""
"Ombre","**** OMBRE *****","","T","","0"
